	"C++ variable name"	"Det_number"	"Det_name"	"Det_active"	"Det_Group"	"Det_Group_number"	"Det_IO_type"	"Det_crate_number"	"Det_slot_number"	"Det_address_number"	"PMT_A_name"	"PMT_A_serial_number"	"PMT_B_name"	"PMT_B_serial_number"	"DAC_A_IO_type"	"DAC_A_crate"	"DAC_A_slot"	"DAC_A_address"	"DAC_A_cablename"	"DAC_A_panelname"	"DAC_A_connectorname"	"DAC_A_HV_setting"	"DAC_A_old_HV_setting"	"DAC_A_lastchange"	"DAC_A_to Histgram_gain"	"DAC_A_min_volt"	"DAC_A_max_volt"	"DAC_B_IO_type"	"DAC_B_crate"	"DAC_B_slot"	"DAC_B_address"	"DAC_B_cablename"	"DAC_B_panelname"	"DAC_B_connectorname"	"DAC_B_HV_setting"	"DAC_B_old_HV_setting"	"DAC_B_lastchange"	"DAC_B_to Histgram_gain"	"DAC_B_min_volt"	"DAC_B_max_volt"	"Pileup_res_time"	"Doublett_res_time"	"Dead_time"	"Count_rate_peak"	"Count_rate_CPS_last_minute"	"Count_rate_CPS_total"	"Total_counts_last_minute"	"Total_counts_this_run"	"Max_rate_tolerated"	"Min_rate_tolerated"	"Signal_integral"	"Time_offset"	"Time_offset_old"	"Time_offset_changed"	"Time_offset_manual"	"Gain_gamma_keV_ch"	"Gain_neutron_keV_ch"	"Element_for_Calibration"	"Center_gravity_137Cs"	"Center_gravity_60Co"	"Center_gravity_Natural"	"Center_gravity_Pu"	"Center_gravity_238U"	"Center_gravity_252Cf"	"Center_gravity_Other"	"Det_center_X"	"Det_center_Y"	"Det_center_Z"	"Det_dimension_X"	"Det_dimension_Y"	"Det_dimension_Z"	"Det_rotation_angle"	"FPGA_threshold_mV"	"FPGA_filter_width"	"Noise_AC_limit"	"Noise_AC_average"	"Digitizer_full_range"	"input_offset_target"	"Input_offset_gain"	"Input_offset_value"	"Digitizer_full_scale"	"Input_invert"	"FPGA_pilup_low"	"FPGA_pilup_high"	"FPGA_master_gate_low"	"FPGA_master_gate_high"	"FPGA_peak_gate_low"	"FPGA_peak_gate_high"	"FPGA_short_tail_gate_low"	"FPGA_short_tail_gate_high"	"FPGA_medium_tail_gate_low"	"FPGA_medium_tail_gate_high"	"FPGA_long_tail_gate_low"	"FPGA_long_tail_gate_high"	"FPGA_CF_gate_1_low"	"FPGA_CF_gate_1_high"	"FPGA_CF_gate_2_low"	"FPGA_CF_gate_2_high"	"FPGA_pre_pulse_gate_low"	"FPGA_pre_pulse_gate_high"	"FPGA_filter_width_ch"	"FPGA_pilup_low_ch"	"FPGA_pilup_high_ch"	"FPGA_master_gate_low_ch"	"FPGA_master_gate_high_ch"	"FPGA_peak_gate_low_ch"	"FPGA_peak_gate_high_ch"	"FPGA_short_tail_gate_low_ch"	"FPGA_short_tail_gate_high_ch"	"FPGA_medium_tail_gate_low_ch"	"FPGA_medium_tail_gate_high_ch"	"FPGA_long_tail_gate_low_ch"	"FPGA_long_tail_gate_high_ch"	"FPGA_CF_gate_1_low_ch"	"FPGA_CF_gate_1_high_ch"	"FPGA_CF_gate_2_low_ch"	"FPGA_CF_gate_2_high_ch"	"FPGA_pre_pulse_gate_low_ch"	"FPGA_pre_pulse_gate_high_ch"	"Threshold_mV"	"Weighting_gain"	"Weighting_offset"	"Det_efficiency_percent"	"Timing_uncertainty_FWHM"	"Timing_uncertainty_full"	"Gamma_tail_low"	"Gamma_tail_high"	"Neutron_tail_low"	"Neutron_tail_high"	"Gate_banana_used"	"Tail_quality_needed"	"Total_gamma_counts"	"Total_neutron_counts"	"Neutron_counts_CPS"	"Trigger_to_gamma_ratio"	"Trigger_to_neutron_ratio"	"Tail_short_needed_low"	"Tail_short_needed_high"	"Tail_medium_needed_low"	"Tail_medium_needed_high"	"Tail_long_needed_low"	"Tail_long_needed_high"	"Digitizer_time_per_sample"	"Pulse_height_gain"	"Pulse_height_histogram_length"	"Rate_histogram_length"	"Timing_spectrum_length"	"Timing_spectrum_gain"	"Pulse_shape_spectrum_length"	"GN_2D_length_X"	"GN_2D_length_Y"	"GN_2D_gain_X"	"GN_2D_gain_Y"	"Histogram_compression"	"Energy_histogram_length"
72		72	"3HE_30"	1	"3He"	30	"express"	1	5	13																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
73		73	"3HE_31"	1	"3He"	31	"express"	1	5	14																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
74		74	"3HE_32"	1	"3He"	32	"express"	1	5	15																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
75		75	"3HE_33"	1	"3He"	33	"express"	1	6	8	"3He_CW04_A"				"express"	1	12	30		"P-1"		1.4	1.4			1.5	1.5												1.5			400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
76		76	"3HE_34"	1	"3He"	34	"express"	1	6	9																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
77		77	"3HE_35"	1	"3He"	35	"express"	1	6	10																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
78		78	"3HE_36"	1	"3He"	36	"express"	1	6	11																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
79		79	"3HE_37"	1	"3He"	37	"express"	1	6	12																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
80		80	"3HE_38"	1	"3He"	38	"express"	1	6	13			"3He_CW04_B"																1	12	31		"P-1"		1.4	1.4				1.5		400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
81		81	"3HE_39"	1	"3He"	39	"express"	1	6	14																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
82		82	"3HE_40"	1	"3He"	40	"express"	1	6	15																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
83		83	"Ge-1"	1	"Ge"	1	"express"	1	7	2																																																																																																																																																	
84		84	"Ge-2"	1	"Ge"	2	"express"	1	7	3																																																																																																																																																	
85		85	"NaI-1"	1	"NaI"	1	"express"	1	7	4																																																																																																																																																	
86		86	"NaI-2"	1	"NaI"	2	"express"	1	7	5																																																																																																																																																	
87		87	"RFQ-on"	1	"RFQ-on"	1	"express"	1	7	6																																																																																																																																																	
88		88	"RFQ-off"	1	"RFQ-off"	2	"express"	1	7	7																																																																																																																																																	
89		89		0			"express"	1																																																																																																																																																			
90		90		0			"express"	1																																																																																																																																																			
91		91		0			"express"	1																																																																																																																																																			
92		92		0			"express"	1																																																																																																																																																			
93		93		0			"express"	1																																																																																																																																																			
94		94		0			"express"	1																																																																																																																																																			
95		95		0			"express"	1																																																																																																																																																			
96		96		0			"express"	1																																																																																																																																																			
97		97		0																																																																																																																																																							
98		98		0																																																																																																																																																							
99		99		0																																																																																																																																																							
100		100		0																																																																																																																																																							
101		101	"FAST_N_01"	0	"Xylene"	1	"USB_1"	1	3	0	"PMT_N01"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
102		102	"FAST_N_02"	0	"Xylene"	2	"USB_1"	1	3	1	"PMT_N02"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
103		103	"FAST_N_03"	0	"Xylene"	3	"USB_1"	1	3	2	"PMT_N03"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
104		104	"FAST_N_04"	0	"Xylene"	4	"USB_1"	1	3	3	"PMT_N04"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
105		105	"FAST_N_05"	0	"Xylene"	5	"USB_1"	1	3	4	"PMT_N05"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
106		106	"FAST_N_06"	0	"Xylene"	6	"USB_1"	1	3	5	"PMT_N06"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
107		107	"FAST_N_07"	0	"Xylene"	7	"USB_1"	1	3	6	"PMT_N07"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
108		108	"FAST_N_08"	0	"Xylene"	8	"USB_1"	1	3	7	"PMT_N08"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
109		109	"FAST_N_09"	0	"Xylene"	9	"USB_1"	1	4	0	"PMT_N09"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
110		110	"FAST_N_10"	0	"Xylene"	10	"USB_1"	1	4	1	"PMT_N10"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
111		111	"FAST_N_11"	0	"Xylene"	11	"USB_1"	1	4	2	"PMT_N11"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
112		112	"FAST_N_12"	0	"Xylene"	12	"USB_1"	1	4	3	"PMT_N12"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
113		113	"FAST_N_13"	0	"Xylene"	13	"USB_1"	1	4	4	"PMT_N13"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
114		114	"FAST_N_14"	0	"Xylene"	14	"USB_1"	1	4	5	"PMT_N14"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
115		115	"FAST_N_15"	0	"Xylene"	15	"USB_1"	1	4	6	"PMT_N15"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
116		116	"FAST_N_16"	0	"Xylene"	16	"USB_1"	1	4	7	"PMT_N16"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
117		117	"FAST_N_17"	0	"Xylene"	17	"USB_1"	1	5	0	"PMT_N17"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
118		118	"FAST_N_18"	0	"Xylene"	18	"USB_1"	1	5	1	"PMT_N18"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
119		119	"FAST_N_19"	0	"Xylene"	19	"USB_1"	1	5	2	"PMT_N19"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
120		120	"FAST_N_20"	0	"Xylene"	20	"USB_1"	1	5	3	"PMT_N20"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
121		121	"FAST_N_21"	0	"Xylene"	21	"USB_1"	1	5	4	"PMT_N21"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
122		122	"FAST_N_22"	0	"Xylene"	22	"USB_1"	1	5	5	"PMT_N22"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
123		123	"FAST_N_23"	0	"Xylene"	23	"USB_1"	1	5	6	"PMT_N23"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
124		124	"FAST_N_24"	0	"Xylene"	24	"USB_1"	1	5	7	"PMT_N24"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
125		125	"FAST_N_25"	0	"Xylene"	25	"USB_1"	1	6	0	"PMT_N25"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
126		126	"FAST_N_26"	0	"Xylene"	26	"USB_1"	1	6	1	"PMT_N26"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
127		127	"FAST_N_27"	0	"Xylene"	27	"USB_1"	1	6	2	"PMT_N27"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
128		128	"FAST_N_28"	0	"Xylene"	28	"USB_1"	1	6	3	"PMT_N28"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
129		129	"FAST_N_29"	0	"Xylene"	29	"USB_1"	1	6	4	"PMT_N29"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
130		130	"FAST_N_30"	0	"Xylene"	30	"USB_1"	1	6	5	"PMT_N30"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
131		131	"FAST_N_31"	0	"Xylene"	31	"USB_1"	1	6	6	"PMT_N31"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
132		132	"FAST_N_32"	0	"Xylene"	32	"USB_1"	1	6	7	"PMT_N32"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
133		133	"FAST_N_33"	0	"Xylene"	33	"USB_1"	1	7	0	"PMT_N33"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
134		134	"FAST_N_34"	0	"Xylene"	34	"USB_1"	1	7	1	"PMT_N34"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
135		135	"FAST_N_35"	0	"Xylene"	35	"USB_1"	1	7	2	"PMT_N35"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
136		136	"FAST_N_36"	0	"Xylene"	36	"USB_1"	1	7	3	"PMT_N36"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
137		137	"FAST_N_37"	0	"Xylene"	37	"USB_1"	1	7	4	"PMT_N37"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
138		138	"FAST_N_38"	0	"Xylene"	38	"USB_1"	1	7	5	"PMT_N38"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
139		139	"FAST_N_39"	0	"Xylene"	39	"USB_1"	1	7	6	"PMT_N39"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
140		140	"FAST_N_40"	0	"Xylene"	40	"USB_1"	1	7	7	"PMT_N40"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
141		141	"FAST_N_41"	0	"Xylene"	41	"USB_1"	1	8	0	"PMT_N41"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
142		142	"FAST_N_42"	0	"Xylene"	42	"USB_1"	1	8	1	"PMT_N42"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
143		143	"FAST_N_43"	0	"Xylene"	43	"USB_1"	1	8	2	"PMT_N43"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
144		144	"FAST_N_44"	0	"Xylene"	44	"USB_1"	1	8	3	"PMT_N44"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
145		145	"FAST_N_45"	0	"Xylene"	45	"USB_1"	1	8	4	"PMT_N45"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
146		146	"FAST_N_46"	0	"Xylene"	46	"USB_1"	1	8	5	"PMT_N46"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
147		147	"FAST_N_47"	0	"Xylene"	47	"USB_1"	1	8	6	"PMT_N47"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
148		148	"FAST_N_48"	0	"Xylene"	48	"USB_1"	1	8	7	"PMT_N48"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
149		149	"FAST_N_49"	0	"Xylene"	49	"USB_1"	1	9	0	"PMT_N49"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
150		150	"FAST_N_50"	0	"Xylene"	50	"USB_1"	1	9	1	"PMT_N50"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
151		151	"FAST_N_51"	0	"Xylene"	51	"USB_1"	1	9	2	"PMT_N51"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
152		152	"FAST_N_52"	0	"Xylene"	52	"USB_1"	1	9	3	"PMT_N52"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
153		153	"FAST_N_53"	0	"Xylene"	53	"USB_1"	1	9	4	"PMT_N53"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
154		154	"FAST_N_54"	0	"Xylene"	54	"USB_1"	1	9	5	"PMT_N54"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
155		155	"FAST_N_55"	0	"Xylene"	55	"USB_1"	1	9	6	"PMT_N55"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
